feature,importance_gain,importance_split
FLOORSMIN_MEDI,1639.9251117706299,26
WEEKDAY_APPR_PROCESS_START_FRIDAY,1436.0357933044434,26
WEEKDAY_APPR_PROCESS_START_THURSDAY,1410.8501987457275,28
AMT_REQ_CREDIT_BUREAU_WEEK,1395.0761947631836,24
ORGANIZATION_TYPE_Kindergarten,1382.2664108276367,28
NAME_HOUSING_TYPE_Rented_apartment,1353.8298149108887,22
FLAG_DOCUMENT_8,1324.3194046020508,28
ORGANIZATION_TYPE_Realtor,1302.4697036743164,28
ORGANIZATION_TYPE_Other,1270.3996028900146,27
NAME_INCOME_TYPE_Commercial_associate,1270.2307987213135,25
ORGANIZATION_TYPE_Medicine,1211.958402633667,21
FLAG_DOCUMENT_11,1208.263198852539,17
NAME_FAMILY_STATUS_Separated,1204.0979118347168,17
WEEKDAY_APPR_PROCESS_START_TUESDAY,1175.4140892028809,26
ORGANIZATION_TYPE_Government,1167.8909187316895,22
ORGANIZATION_TYPE_Transport_type_4,1164.0550060272217,21
NAME_EDUCATION_TYPE_Incomplete_higher,1163.2519931793213,22
NAME_FAMILY_STATUS_Civil_marriage,1154.6449947357178,25
WALLSMATERIAL_MODE_Panel,1144.5317001342773,18
NAME_TYPE_SUITE_Spouse_partner,1106.3369026184082,18
OCCUPATION_TYPE_Security_staff,1101.7769012451172,18
ORGANIZATION_TYPE_Security_Ministries,1050.5247993469238,21
NAME_HOUSING_TYPE_Municipal_apartment,1023.5998115539551,20
FONDKAPREMONT_MODE_not_specified,1020.0723991394043,17
FLOORSMIN_MODE,1015.34450340271,18
REG_CITY_NOT_WORK_CITY,990.9958152770996,16
NAME_HOUSING_TYPE_With_parents,985.6584892272949,19
NAME_EDUCATION_TYPE_Lower_secondary,979.3893032073975,24
OCCUPATION_TYPE_Private_service_staff,972.9900932312012,15
ORGANIZATION_TYPE_Police,971.236891746521,18
ELEVATORS_MEDI,930.0678958892822,18
FLAG_EMAIL,918.7616081237793,17
ORGANIZATION_TYPE_Business_Entity_Type_1,888.9324989318848,18
OCCUPATION_TYPE_Cleaning_staff,881.6422004699707,15
REG_REGION_NOT_LIVE_REGION,867.5192108154297,13
WEEKDAY_APPR_PROCESS_START_SUNDAY,850.8962020874023,17
FLAG_DOCUMENT_6,797.7914905548096,14
REG_REGION_NOT_WORK_REGION,773.8604965209961,15
LIVE_REGION_NOT_WORK_REGION,762.7246990203857,15
FLAG_DOCUMENT_14,723.9465026855469,14
NAME_EDUCATION_TYPE_Academic_degree,717.4560947418213,21
OCCUPATION_TYPE_Medicine_staff,711.161808013916,13
WALLSMATERIAL_MODE_Block,661.113000869751,12
ORGANIZATION_TYPE_Trade_type_7,621.8854026794434,13
FLAG_DOCUMENT_15,558.1042995452881,15
FONDKAPREMONT_MODE_nan,558.0584983825684,7
ORGANIZATION_TYPE_Business_Entity_Type_2,540.1543045043945,11
LIVE_CITY_NOT_WORK_CITY,532.5055027008057,12
NAME_TYPE_SUITE_Children,509.500301361084,7
ORGANIZATION_TYPE_Hotel,505.7573051452637,10
FONDKAPREMONT_MODE_reg_oper_spec_account,501.72270011901855,11
FLAG_DOCUMENT_5,500.0552978515625,11
ORGANIZATION_TYPE_Trade_type_6,475.2640953063965,9
WALLSMATERIAL_MODE_Wooden,462.2927932739258,8
ORGANIZATION_TYPE_Restaurant,453.1305122375488,6
ORGANIZATION_TYPE_Bank,436.1995048522949,11
ORGANIZATION_TYPE_Security,434.65159606933594,8
ORGANIZATION_TYPE_Telecom,430.0142993927002,9
ORGANIZATION_TYPE_Legal_Services,427.2181987762451,11
OCCUPATION_TYPE_Cooking_staff,394.3972053527832,8
ORGANIZATION_TYPE_Transport_type_2,371.7013053894043,8
FONDKAPREMONT_MODE_org_spec_account,360.44719886779785,8
ORGANIZATION_TYPE_Industry_type_7,349.5871925354004,8
ORGANIZATION_TYPE_Postal,346.7451057434082,8
WALLSMATERIAL_MODE_Others,345.3787021636963,8
FLAG_OWN_REALTY_Y,332.11389923095703,7
NAME_TYPE_SUITE_nan,330.2448978424072,10
ORGANIZATION_TYPE_University,323.5081977844238,6
NAME_TYPE_SUITE_Other_B,316.06929779052734,5
EMERGENCYSTATE_MODE_Yes,302.5690002441406,2
ORGANIZATION_TYPE_Trade_type_3,286.9043998718262,6
OCCUPATION_TYPE_Secretaries,270.1430969238281,5
ORGANIZATION_TYPE_Housing,251.4836025238037,7
ORGANIZATION_TYPE_Services,251.04759979248047,4
FONDKAPREMONT_MODE_reg_oper_account,250.46210098266602,5
ORGANIZATION_TYPE_Agriculture,246.641695022583,5
EMERGENCYSTATE_MODE_No,234.41920471191406,5
ORGANIZATION_TYPE_Culture,212.6446075439453,4
HOUSETYPE_MODE_block_of_flats,186.33230018615723,4
ORGANIZATION_TYPE_Industry_type_3,180.71700286865234,4
NAME_HOUSING_TYPE_Co_op_apartment,162.81499862670898,3
ORGANIZATION_TYPE_Industry_type_5,146.1146011352539,3
ORGANIZATION_TYPE_Industry_type_11,142.1388988494873,3
EMERGENCYSTATE_MODE_nan,140.0343017578125,3
ORGANIZATION_TYPE_Industry_type_12,130.03399848937988,3
ORGANIZATION_TYPE_XNA,127.99380111694336,3
WALLSMATERIAL_MODE_Monolithic,121.97699737548828,2
ORGANIZATION_TYPE_Industry_type_1,102.68359756469727,3
NAME_TYPE_SUITE_Other_A,94.49029922485352,2
HOUSETYPE_MODE_nan,76.2603988647461,2
OCCUPATION_TYPE_IT_staff,72.48670196533203,2
WALLSMATERIAL_MODE_Mixed,64.54720306396484,1
FLAG_DOCUMENT_20,62.571001052856445,2
ORGANIZATION_TYPE_Trade_type_1,46.1515007019043,1
ORGANIZATION_TYPE_Advertising,43.081298828125,1
WALLSMATERIAL_MODE_nan,41.47719955444336,1
HOUSETYPE_MODE_terraced_house,39.96030044555664,1
FLAG_CONT_MOBILE,35.5796012878418,1
ORGANIZATION_TYPE_Emergency,31.6387996673584,1
ORGANIZATION_TYPE_Electricity,29.697900772094727,1
FLAG_MOBIL,0.0,0
NAME_CONTRACT_TYPE_nan,0.0,0
CODE_GENDER_XNA,0.0,0
FLAG_DOCUMENT_17,0.0,0
FLAG_DOCUMENT_12,0.0,0
FLAG_DOCUMENT_19,0.0,0
FLAG_DOCUMENT_9,0.0,0
FLAG_DOCUMENT_2,0.0,0
FLAG_DOCUMENT_7,0.0,0
FLAG_DOCUMENT_4,0.0,0
FLAG_DOCUMENT_10,0.0,0
HOUSETYPE_MODE_specific_housing,0.0,0
NAME_TYPE_SUITE_Group_of_people,0.0,0
FLAG_OWN_REALTY_nan,0.0,0
FLAG_OWN_CAR_nan,0.0,0
CODE_GENDER_nan,0.0,0
FLAG_DOCUMENT_21,0.0,0
OCCUPATION_TYPE_Waiters_barmen_staff,0.0,0
NAME_HOUSING_TYPE_nan,0.0,0
OCCUPATION_TYPE_HR_staff,0.0,0
NAME_INCOME_TYPE_Businessman,0.0,0
NAME_INCOME_TYPE_Maternity_leave,0.0,0
NAME_INCOME_TYPE_Student,0.0,0
NAME_INCOME_TYPE_Unemployed,0.0,0
NAME_INCOME_TYPE_nan,0.0,0
NAME_EDUCATION_TYPE_nan,0.0,0
NAME_FAMILY_STATUS_Unknown,0.0,0
NAME_FAMILY_STATUS_nan,0.0,0
OCCUPATION_TYPE_Realty_agents,0.0,0
ORGANIZATION_TYPE_Insurance,0.0,0
ORGANIZATION_TYPE_Industry_type_6,0.0,0
ORGANIZATION_TYPE_Industry_type_4,0.0,0
ORGANIZATION_TYPE_Industry_type_13,0.0,0
ORGANIZATION_TYPE_Industry_type_10,0.0,0
ORGANIZATION_TYPE_Industry_type_2,0.0,0
WEEKDAY_APPR_PROCESS_START_nan,0.0,0
ORGANIZATION_TYPE_Cleaning,0.0,0
ORGANIZATION_TYPE_Industry_type_8,0.0,0
ORGANIZATION_TYPE_Mobile,0.0,0
ORGANIZATION_TYPE_Religion,0.0,0
ORGANIZATION_TYPE_Transport_type_1,0.0,0
ORGANIZATION_TYPE_Trade_type_5,0.0,0
ORGANIZATION_TYPE_Trade_type_4,0.0,0
ORGANIZATION_TYPE_nan,0.0,0
